"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","11411","57","0","2013","A","",19,45,1571415,494842,16717,667,34664,"",0.72,0.54,0.29,0.27,0.19,0.54,0.54,"",1,5.6,-9,-16.7,44338,2.9,-136539,-21.6,-3022,-15.3,123,22.6,6385,22.6
"01003","5","11411","77","0","2013","A","N",1,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","11411","77","0","2013","A","N",3,0,0,0,0,0,0,"N",49.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","11411","77","0","2013","A","",15,26,1168127,275879,7562,870,45218,"",6.98,3.52,2.43,1.62,0.86,0.70,0.70,"N",2,15.4,0,0,0,0,0,0,0,0,0,0,0,0
"02000","5","11411","57","0","2013","A","N",108,0,0,0,0,0,0,"N",21.78,0,0,0,0,0,0,"N",7,6.9,0,0,0,0,0,0,0,0,0,0,0,0
"02013","5","11411","77","0","2013","A","",5,3,352777,351636,15577,1986,103252,"",208.37,33.00,72.02,44.04,28.32,1.92,1.92,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","11411","77","0","2013","A","",5,23,3786093,1179671,51606,3154,164018,"",138.04,134.79,313.59,69.78,46.43,2.32,2.32,"",1,25.0,11,91.7,1085961,40.2,378399,47.2,19092,58.7,-1143,-26.6,-59441,-26.6
"02020","5","11411","77","0","2013","A","N",11,0,0,0,0,0,0,"N",5.82,0,0,0,0,0,0,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","11411","77","0","2013","A","N",1,0,0,0,0,0,0,"N",48.02,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02100","5","11411","77","0","2013","A","N",1,0,0,0,0,0,0,"N",30.68,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
